# Weekend Box
## 
### 
STANFORD FGM-FGA FTM-FTA TP
Moore 4-10 2-3 10
Green 3-6 1-3 7
Palmer 3-9 4-6 10
O'Neill 4-10 4-4 12
Terry 9-19 4-4 22
Osborn 0-0 2-2 2
Barber 1-1 0-0 2
<uchenbecker 3-3 2-2 8
TOTALS 27-58 19-24 73
CALIFORNIA
Ridgle 4-6 11-16 19
Chenier 3-8 0-0 6
Truitt 9-19 3-6 21
Dorado 0-4 0-0 0
Johnson 6-16 5-5 17
White 3-10 0-0 6
Kallenberger 1-1 0-0 2
CI. Johnson 0-0 0-0 0
Henderson 0-0 0-0 0
TOTALS 26-64 19-27 71
