# Final Pac-8 Water Polo Standings
## 
### 
W L PF PA
UCLA 6 0 48 27
Stanford 4 2 60 42
California 2 4 40 47
USC 0 6 37 59
FINAL SCORING LEADERS
GOALS
Stan Cole, UCLA 29
Gary Sheerer, Stanford 20
Mark Parmeley, Stanford 14
Peter Asch, California 14
George Watson, USC 12
Bill Johnson, USC 12
Russ Webb, UCLA 9
Bruce Bradley, UCLA 8
Jon Shores, California 8
Barry Weltzenberg, California 8
John Parker, Stanford 6
John Williams, USC 6
