# Aggie Open
## 
### 
Aggie Open UC-Davis Jan. 12
Stanford Wrestler Wt. Class Record Finish
Patricia Miranda 125 1-2 N/A
AJ Magnuson 133 0-2 N/A
Brad Metzler 141 5-1 3rd
Matt Gentry 149 4-1 2nd
Levi Weikel-Magden 157 4-1 2nd
Brennan Corbett 165 4-2 4th
Imad Kharbush 174 5-0 Ist
Mark Egesdal 184 2-3 6th
