# MURALS
## 
### 
Panthers 62, Highwaymen 31
Arcos 51, Capitan 35
Ed II 52, Barron Bolts 34
Crothers II 42, Whiteacre II 23
Whiteacre I 40, Crothers I 26
Law I 66, Law II 18
Serra 61, Branner 39
Beta Biz 53, Neutrinoes 21
Ingunears 31, Poli Sci 14
Biz Fac 39, Ed I 36
Grove 44, Soto 21
Holladay 47, Otero 26
Alpha Biz won by forfeit
