# California Bears
## 
### 
NO. NAME POS. HT. WT. CLASS
2 A. Washington DB 6-3 200 Jr.
3 Joe Cooper PK 5-10 170 Fr.
5 Eric Anderson QB 6-5 200 Jr.
7 Tim Washington DB 5-10 180 So.
8 Dan Melville P 6-0 190 Sr.
9 Eric Mclntyre LB 6-3 215 Fr.
10 Matt Bouza WR 6-2 195 So.
11 Charlie Young DB 6-1 180 Sr.
13 Joe Rose TE 6-4 220 Jr.
"|8 Holden Smith WR 6-2 190 So.
19 Rich Campbell QB 6-5 215 So.
21 Michael Buggs WR 6-2 190 Fr.
22 Darnell Qhapman DB 6-1 185 Jr.
23 Dwayne Wilkes DB 6-3 200 Jr.
25 Daryl Swanson DB 6-2 190 Jr.
27 Ron Coccimiglio DB 6-1 190 So.
29 Dave Palmer RB 6-1 200 Fr.
31 Dave Samas DB 6-0 185 Fr.
32 Mike Carnell RB 6-1 185 Fr.
35 John Breidenthal LB 6-2 210 So.
36 Steve Summers LB 6-2 210 So.
37 Charles Glass DE 6-2 220 So.
42 John Williams RB 6-0 205 Sr.
44 Mark Houghton RB 6-1 215 Sr.
45 Mick Luckhurst PK 6-2 180 Jr.
46 Paul Jones RB 6-2 225 Jr.
47 Rich Dixon LB 6-3 215 . Fr.
49 Pat Turner LB 6-3 215 Jr.

NO. NAME POS. HT. WT. CLASS
50 Kirk Karacozoff DE 6-2 • 225 Jr.
51 Dave Shaw C 6-2 240 Sr.
54 Rick Anderson C 6-2 245 Jr.
55 Stan Holloway LB 6-2 220 Jr.
58 David Shaw LB 6-2 225 Sr.
59 Vic Henderson DT 6-0 220 Sr.
61 Don Hudson OT 6-4 265 Jr.
63 Craig Watkins OT 6-5 250 Sr.
64 Bruce Sorenson OG 6-4 235 Jr.
66 John Harris LB 6-0 205 Sr.
70 Daryle Skaugstad DT 6-4 245 Jr.
71 Brian Bailey OG 6-3 250 So.
72 Darrell Wright OT 6-5 235 Sr.
75 Duke Leffler OG 6-5 255 Sr.
76 Mike Harmon OT 6-3 245 Jr.
78 Pat Graham DT 6-4 250 So.
79 Kevin Uperesa OT 6-6 260 So.
80 Ron Hill LB 6-2 220 Jr.
81 Lamar Lundy TE 6-3 225 Sr.
84 Dave Mogni WR 6-1 190 Sr.
86 Ron Moffett TE 6-4 22Q Sr.
87 Delroy Reed WR 5-8 150 Jr.
89 Billy Kemp WR 6-0 175 So.
93 Dupre Marshall DT 6-3 245 So.
94 Ralph DeLoach DE 6-5 255 Sr.
95 Dan Wetherell DE 6-1 210 Fr.
96 Bob Rozier DE 6-4 235 Sr.
98 Rich Miller DT 6-5 265 Sr.
