# 1999 CALIFORNIA FOOTBALL
## 
### 
(4-6,3-4 Pacific 10 Conference)
Sept. 4 Rutgers W, 21-17
Sept. 11 @ Nebraska L, 45-0
Sept. 25 Arizona State W, 24-23
Oct. 2 @ Washington State L, 31-7
Oct. 9 @ BYU L, 38-28
Oct. 16 @ UCLA W, 17-0
Oct. 23 Washington L, 31-27
Oct. 30 USC W, 17-7
Nov. 6 @ Oregon State L, 17-7
Nov. 13 @ Oregon L, 24-19
Nov. 20 @ Stanford 12:30 p,m.

