# Last 10 Meetings with California
## 
### 
(Stanford leads the all-time series 48-39-11)
1995 Stanford 29, California 24 @STAN
1994 California 24, Stanford 23 @CAL
1993 California 46, Stanford 17 @STAN
1992 Stanford 41, California 21 @CAL
1991 Stanford 38, California 21 @STAN
1990 Stanford 27, California 25 @CAL
1989 Stanford 24, California 14 @STAN
1988 . Stanford 19, California 19 @CAL
1987 Stanford 31, California 7 @STAN
1986 California 17, Stanford 11 @CAL
