# Stanford Statistics
## 
### 
player a fu % ft % rch Avr
Dose 18 129 48 101 72 188 19.9
Clemetson 18 85 44 53 67 53 12.4
Sutherland 18 52 33 32 71 38 7.6
Moore 16 37 33 2 3 6 ] 93 6.0
Hinkley 11 25 52 6 60 15 5.1
Sommers 18 36 34 16 50 117 4.9
Shape 18 33 44 13 88 22 4,4
Haaka 18 28 34 17 59 121 4.1
Cordes 16 13 36 16 76 46 2.6
Garner 12 6 22 0 0 21 1.2
Murray 10 3 50 1 33 6 0.7
OPPONENTS 18 380 36 284 71 797 57.8
STANFORD 18 483 40 281 68 831 65.9
